,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,-0.22647430777115202,-0.38654426586133095,-0.0021966790163285006,1.0310635532976176,-0.26511228395205455,-0.2650853676629055,-0.26455536886591036,-0.2659051499656731,-0.06213029858621716,-0.25820076969463485,-0.3118088817350178,-0.2828515029162482,,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,-0.22855209950940097,-0.5660697406071592,-0.29154963306322895,-1.7740249397146033,-0.4371524072884201,-0.43702222330055146,-0.4378075406265497,-0.4362601777998402,-0.2510035774285091,-0.44628399398415686,-0.43312886054585825,-0.4232563673192569,,1,0,0,0,0,0,0,0,0,0,0
2,CRML,-0.22728994343101153,-0.4644269206263094,7.938883529703583,-0.9489989123580674,-0.4699320316150875,-0.47035788470962775,-0.46914221220346436,-0.471417333886504,-0.2621535816881316,-0.4793919114002784,-0.4659008929315252,-0.45998168867220995,,1,0,0,0,0,0,0,0,0,0,0
3,GSM,-0.19958282446598635,-0.5439743455831114,-0.6491937128962598,-0.4849217719700163,-0.4840008388195138,-0.48387943900707453,-0.48406239287184766,-0.4836690575127011,-0.29809978653318403,-0.4940794326121467,-0.47700621510924085,-0.46574804746905557,,1,0,0,0,0,0,0,0,0,0,0
4,IPX,-0.22781197996136418,-0.47381181080345836,1.3291265415955498,-0.12397288500153171,-0.46495880444454835,-0.46501468989878497,-0.4647369895102868,-0.4651571833881163,-0.1390845518083923,-0.46985234197529424,-0.45504487390473786,-0.42944058118748824,,1,0,0,0,0,0,0,0,0,0,0
5,MERC,-0.22327106787658935,-0.5390233829569814,0.3632711251602685,0.28854012867673584,-0.47470336043715405,-0.47464299775785174,-0.47467916354394524,-0.4744938903335602,-0.23768432397484004,-0.4819536883558369,-0.4712269147922664,-0.46136149595574083,,1,0,0,0,0,0,0,0,0,0,0
6,NB,-0.22659080341242965,-0.5631965613104312,-1.6759326863242945,-1.4567072368851663,-0.48977652982406666,-0.48964047628142937,-0.48982983852008466,-0.48945398661953593,-0.27408336410215517,-0.4995933525355391,-0.48573182539173176,-0.47081420555485565,,1,0,0,0,0,0,0,0,0,0,0
7,SGML,-0.20158354287741934,-0.27152709054898094,-4.056758588959584,-1.673412009549172,-0.452797762357096,-0.45190394906736436,-0.4514672055493919,-0.45313848958864206,-0.6159219847120188,-0.47460992774990274,-0.4622746652816589,-0.4498493725006098,,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,-0.22330796212017567,-0.42037748983974293,-0.03207664751994916,0.5177140251646624,-0.21111127552535078,-0.21109508984018083,-0.211166729767219,-0.2112973347740746,-0.27713019315357673,-0.20611130493161373,-0.2394203122745612,-0.20508803571307288,,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,-0.22750967144862036,-0.5722997529181411,-1.6047284716868362,-1.7740249397146033,-0.49192953867489425,-0.4918129926982089,-0.49209135241566293,-0.49154645838115757,-0.26104277851449387,-0.5012036123361758,-0.48342010526494195,-0.4690842979158019,,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,0.6011027098878643,-0.035559182615569576,0.2750045329650326,1.0310635532976176,-0.08638620845912336,-0.08689383277149884,-0.0871390317121043,-0.08588499334216902,0.4037257120401077,-0.06614069165505544,-0.042516150886819454,-0.0915731439694546,,0,1,0,0,0,0,0,0,0,0,0
11,BKNG,-0.22320056287757772,5.317204788291865,-0.0692809537069086,-0.12397288500153171,8.261803049648517,8.2605444804006,8.25853368183679,8.265206836999212,1.0333717423265787,8.34502697909507,8.3152133365251,8.199194563442392,,0,1,0,0,0,0,0,0,0,0,0
12,COST,-0.18813537055284754,1.0176369392617468,0.11961205052419743,-0.12397288500153171,1.2580329533647943,1.2566675996455503,1.2510638665161122,1.2632979769947292,1.524225085769088,1.281231997589834,1.4271712516811927,1.3504078438745961,,0,1,0,0,0,0,0,0,0,0,0
13,CTAS,-0.20311330496099256,-0.30259946926044967,0.06630252454489656,-0.803406084001032,-0.11823743080222775,-0.11841892680005106,-0.11988249998136757,-0.11671503608958674,0.06077535106104759,-0.08717776003534347,-0.09617298814343528,-0.051311603084336035,,0,1,0,0,0,0,0,0,0,0,0
14,MAR,-0.20161994229411812,-0.07533327993348657,0.27825054625651224,1.6336912602363045,0.09855860211409294,0.09780295062464583,0.09652661428515784,0.09986627023070384,0.3181971824489279,0.10935322873857954,0.05337490652933334,0.036666556844680155,,0,1,0,0,0,0,0,0,0,0,0
15,MELI,-0.22111052253058358,4.5169415585793296,-0.488890594963186,-0.803406084001032,3.5262751707347966,3.532166890371729,3.5400839735004475,3.5163310842239475,-2.971046620604555,3.1826316497568237,3.1313395996586864,3.7505311282302287,,0,1,0,0,0,0,0,0,0,0,0
16,NFLX,-0.1432876622923536,2.0741146817296214,-0.2051557408438466,-0.4849217719700163,0.8891724677976428,0.8898290976217498,0.8918418279706379,0.8880397602232973,2.984226695609274,0.9755266142265302,1.0372157957836923,0.9853767378957076,,0,1,0,0,0,0,0,0,0,0,0
17,PDD,-0.06319524827988143,-0.026871712134611196,-1.159983035199101,-1.0865032502508236,-0.17465896288779711,-0.1731626857466324,-0.1713008596906155,-0.17601436155595798,-0.8710190679219356,-0.22260426895025648,-0.1880638631833293,-0.1976741458314142,,0,1,0,0,0,0,0,0,0,0,0
18,SBUX,-0.06770600264701435,-0.4978104239317751,-0.4946335415558038,-0.3102690847272012,-0.2680602698165893,-0.2676095999596235,-0.2685214153031013,-0.2669613599253698,-0.3031471192588513,-0.28325738810757284,-0.3146418720864759,-0.27453147093794245,,0,1,0,0,0,0,0,0,0,0,0
19,TSLA,1.6954198200789716,0.5052919455766073,-0.5638402095523515,-0.803406084001032,-0.016457171157861987,-0.015318970068397489,-0.012305754512242218,-0.019596642068684594,-1.450989645157294,-0.0773393166322108,-0.013823624607252052,0.0635007193885725,,0,1,0,0,0,0,0,0,0,0,0
20,CCEP,-0.19883041177171296,-0.47041629198329993,-0.024710694281591415,-0.4849217719700163,-0.32786416840665633,-0.3278236036526845,-0.32843999884415714,-0.32711811006581715,-0.13978324053230018,-0.3355664337524989,-0.32393408043925837,-0.3131248865996878,,0,0,1,0,0,0,0,0,0,0,0
21,CELH,-0.13493950022603232,0.20116049596814622,1.650065701901849,0.5177140251646624,-0.3281621503020669,-0.329027359776045,-0.3260699020172415,-0.331056187501854,0.6223029889835944,-0.3039223888824107,-0.35836057919017683,-0.41072050923630016,,0,0,1,0,0,0,0,0,0,0,0
22,COKE,-0.2276985248485529,1.055275601325906,-0.6054973801263408,-0.3102690847272012,1.6216877214109058,1.6262042452284096,1.6245280828927753,1.6240458614554514,-1.8246476274627221,1.5588310280692972,2.0262467233619224,2.2357086722988817,,0,0,1,0,0,0,0,0,0,0,0
23,KDP,-0.021708711394318923,-0.5182971519917512,-0.17831370785661074,-0.6489894478647819,-0.42100940029213096,-0.42089635691794125,-0.42137253428802907,-0.42040202758519646,-0.32558005858976585,-0.43140128976615083,-0.41502038621933823,-0.3981168964374804,,0,0,1,0,0,0,0,0,0,0,0
24,KHC,-0.07041287465688577,-0.5162773274494022,-0.12217432413601985,-0.3102690847272012,-0.4073832261539259,-0.40728726661338543,-0.4077981434798412,-0.40675352572662143,-0.3227980344579661,-0.4162014131631709,-0.41724145065488144,-0.402997707276239,,0,0,1,0,0,0,0,0,0,0,0
25,MDLZ,-0.09229537281446526,-0.4953832965701963,-0.17057321462308234,-0.4849217719700163,-0.31726858498566923,-0.31713843926909285,-0.3179798032198056,-0.31629671292100403,-0.32660342582070373,-0.3354444443736628,-0.3415892763095451,-0.32358670898825065,,0,0,1,0,0,0,0,0,0,0,0
26,MNST,-0.13012747737336916,-0.4828416777716366,-0.42247216915290947,-1.0865032502508236,-0.3553981790831908,-0.3551302915925257,-0.3558431741867298,-0.35466318107583655,-0.20294141532820062,-0.36159896719612583,-0.3763557339026385,-0.367864106892601,,0,0,1,0,0,0,0,0,0,0,0
27,PEP,-0.1172522092303046,-0.4182121494760512,-0.11813761529917971,-0.3102690847272012,-0.08288678483411617,-0.08277747611876556,-0.0846758552500015,-0.08121768227164941,-0.25189132805916264,-0.0792423509420542,-0.12027607005364059,-0.12510040154539992,,0,0,1,0,0,0,0,0,0,0,0
28,PPC,-0.21541757328425223,-0.4441553206302166,0.25115881993916256,0.5177140251646624,-0.4229661279244684,-0.42298107535236135,-0.42334761830258577,-0.4226409324249535,-0.11023390485791254,-0.4224960651111144,-0.40278186790103937,-0.38046771969142074,,0,0,1,0,0,0,0,0,0,0,0
29,WBA,0.03279906910189263,-0.5048615579723784,0.040001493772907334,-0.6489894478647819,-0.4420716229738194,-0.4420005591346659,-0.4419851062947415,-0.44202133117831643,-0.34217219392160925,-0.45331058220511705,-0.46320388611693714,-0.45685137961106514,,0,0,1,0,0,0,0,0,0,0,0
30,APA,-0.09808503230545251,-0.4934143888960433,-0.24797814695836706,-0.12397288500153171,-0.4187843076261986,-0.41864719863407834,-0.4186686397228712,-0.4185677417471979,-0.2676368424365855,-0.4223496778565111,-0.4222955054418826,-0.42493046484281255,,0,0,0,1,0,0,0,0,0,0,0
31,CHRD,-0.21585671847849525,-0.2297525967114173,0.03792071602195881,0.28854012867673584,-0.10146038522228817,-0.10161724487933832,-0.10185336372447498,-0.10143563897898873,0.03594658764737809,-0.07136183706924112,-0.10493259431014365,-0.20710626129196888,,0,0,0,1,0,0,0,0,0,0,0
32,EXE,-0.18688033783155214,-0.38659210576839736,0.2076705649443386,-0.6489894478647819,-0.2993362803196688,-0.2994919879257519,-0.29947769471848484,-0.2993882773373063,-0.056713119559510194,-0.2895032443039819,-0.30247134553661204,-0.3059169381036308,,0,0,0,1,0,0,0,0,0,0,0
33,FANG,-0.1941909317681571,0.2718120898900046,0.27854185514164503,1.0310635532976176,-0.07935290894128252,-0.07993939747214299,-0.08019828783200898,-0.07925249351957768,0.7706336848564087,-0.022736870665165762,-0.027761937136425774,-0.12026077898376163,,0,0,0,1,0,0,0,0,0,0,0
34,PAA,-0.171222889080788,-0.5424597910905439,0.19884806728031693,0.7645166829208911,-0.4570065803389257,-0.4569673260981269,-0.45730484501468965,-0.4564972967914157,-0.22009398102437444,-0.46338690489698015,-0.4485856559034135,-0.4395317090819681,,0,0,0,1,0,0,0,0,0,0,0
