,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,-0.24371120487528058,-0.04788135273292787,1.5002229760951227,0.864659502888962,-0.3163966676271745,-0.3169815069333091,-0.3157952014329718,-0.3172372417988208,0.18745548278127075,-0.27833610361079436,92.07,100.01,93.45,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,-0.24592170065757632,-0.48639107209744215,-0.6238143341531124,-1.970226822247604,-0.4495730788736528,-0.44966296190887883,-0.45013623806226977,-0.4489740492509404,-0.2803645793873349,-0.4303724534578378,24.2,24.4,25.2729,1,0,0,0,0,0,0,0,0,0,0
2,CRML,-0.24575101007813555,-0.4903752562538852,0.006835417884203734,-3.2350222596162252,-0.48954512460300964,-0.48974476157180935,-0.49001925730464724,-0.4891383229263916,-0.27372283400173225,-0.4680008643887798,11.0101,11.9,7.44,1,0,0,0,0,0,0,0,0,0,0
3,GSM,-0.2252771654067389,-0.4777362602146572,-0.8060765851851737,-0.8123155063467533,-0.5075391367900469,-0.507723127293933,-0.5075342691922518,-0.5076214552739873,-0.26291832611423177,-0.48451636926430613,6.51,4.76,4.64,1,0,0,0,0,0,0,0,0,0,0
4,IPX,-0.2418307351868788,-0.44306487859413635,0.6197733045451531,-0.12167964455500284,-0.49993604982655276,-0.500174879861483,-0.4995338813614305,-0.500315585340788,-0.2403011235990134,-0.4711344178936203,9.44,15.1,22.27,1,0,0,0,0,0,0,0,0,0,0
5,MERC,-0.2322438790885443,-0.47551354141423885,0.31044183751748744,-0.12167964455500284,-0.49522363839045175,-0.49542901940189976,-0.4951502239204337,-0.49541594713071924,-0.29540360633884244,-0.47461877946301545,9.43,10.03,6.77,1,0,0,0,0,0,0,0,0,0,0
6,NB,-0.24410249867783326,-0.4553048537348642,-5.841568857072918,-2.1882950011042626,-0.507252832241308,-0.5072955550991691,-0.5070810466282585,-0.5073282544512749,-0.3249022007231063,-0.4891137704441955,3.16,2.53,2.18,1,0,0,0,0,0,0,0,0,0,0
7,SGML,-0.23198982958238282,-0.3741846858192564,-1.2922583443798994,-0.9162306244404194,-0.40796520318110147,-0.40779911378314626,-0.40664860770299177,-0.4092818122802645,-0.3411763485105241,-0.40474999465272166,30.24,14.11,12.36,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,-0.23933906423438933,-0.08453934974549912,0.739596757432243,1.3642338762696713,-0.23671986060467523,-0.23708865111820468,-0.23678061354021687,-0.23703042452833814,0.17493692373143838,-0.19988745545204448,123.56,119.9,131.21,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,-0.2453048412451753,-0.4821170141159558,-4.782077273650225,-2.4566866058509196,-0.5149643382489957,-0.5151113863646228,-0.5149961227168235,-0.514956921791347,-0.2951213564332149,-0.4938283028643368,2.07,2.11,3.02,1,0,0,0,0,0,0,0,0,0,0
