,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,-0.2490523128783098,-0.16931161020254024,0.7439227813138433,0.847934928470818,-0.3420869022560279,-0.34253197419071113,-0.3412682847043058,-0.3429537626203274,-0.07463871222976365,-0.27833610361079436,92.07,100.01,93.45,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,-0.25082012086092376,-0.40086865830239304,-0.44860434774120495,-2.1413690230604274,-0.46525193974778756,-0.4655507264177839,-0.4661457439200687,-0.4645224294859456,-0.2934322084276736,-0.4303724534578378,24.2,24.4,25.2729,1,0,0,0,0,0,0,0,0,0,0
2,CRML,-0.24993251844777378,-0.40407210632783164,-0.3012869395201841,-3.6386024357444717,-0.5112548409159274,-0.5116554135073405,-0.5119759147271927,-0.5107387990101139,-0.2834053616315788,-0.4680008643887798,11.0101,11.9,7.44,1,0,0,0,0,0,0,0,0,0,0
3,GSM,-0.2178251435700175,-0.3972028154056738,-1.2052587828197145,-0.805811655359493,-0.5307926126319287,-0.5311943987571797,-0.5309035167014899,-0.5308731887034973,-0.28789076749720455,-0.48451636926430613,6.51,4.76,4.64,1,0,0,0,0,0,0,0,0,0,0
4,IPX,-0.25078441929379147,-0.37966467302946844,-1.5087163328190298,-1.7586325347849037,-0.5253632987845513,-0.5257508081683501,-0.5252230150912467,-0.5256169937499795,-0.2645419141292711,-0.4711344178936203,9.44,15.1,22.27,1,0,0,0,0,0,0,0,0,0,0
5,MERC,-0.24175647930303376,-0.3653989958834214,-0.1368430485115156,-0.2853301723865421,-0.5108977664521218,-0.5113005170200623,-0.5109394697659548,-0.5110668150593487,-0.3317717117704537,-0.47461877946301545,9.43,10.03,6.77,1,0,0,0,0,0,0,0,0,0,0
6,NB,-0.25048876066839015,-0.36549160042107076,-7.032365378156344,-2.491630900209543,-0.5242298493227984,-0.5243729842005797,-0.5239236389083827,-0.52455252298859,-0.330215536771411,-0.4891137704441955,3.16,2.53,2.18,1,0,0,0,0,0,0,0,0,0,0
7,SGML,-0.23783963285565676,-0.3247655575842586,-0.46617567423762285,-0.12608274452530174,-0.42791946071604126,-0.4280444522367606,-0.4263582133278622,-0.42967612202532823,-0.2443759564139724,-0.40474999465272166,30.24,14.11,12.36,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,-0.2460834504037223,-0.1843975578812354,0.11377695430166579,1.3544879361305533,-0.2471066688617072,-0.2472491542597048,-0.24723487114550877,-0.247235450948627,-0.10120591801772989,-0.19988745545204448,123.56,119.9,131.21,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,-0.2502053408773493,-0.40357635106551615,-2.6782845837936673,-2.3452251420361034,-0.5391250831684524,-0.539528314960964,-0.5393194832073052,-0.5391340102196807,-0.2892092332056089,-0.4938283028643368,2.07,2.11,3.02,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,1.3273977952173495,-0.03354593760694833,-0.23789671102044926,-0.2853301723865421,-0.1624531416010331,-0.16222564495353473,-0.16172237067786127,-0.16308563026616854,0.013781554672975463,-0.12750034897633353,149.93,180.97,186.33,0,1,0,0,0,0,0,0,0,0,0
