,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,-0.24952482423387617,-0.14705588964626554,0.06081664601748968,0.803251845480491,-0.28667187992257237,-0.28661909399569585,-0.2858533668545789,-0.287213828110972,-0.117544510963744,-0.26059472324346084,100.01,78.38,,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,-0.25270259048374955,-0.4298127263833133,-0.8956966268976208,-1.920237376098601,-0.4403417954514465,-0.4402322521042231,-0.44097257082362834,-0.43941862008932725,-0.36322317433299284,-0.43271071918316323,24.4,24.85,,1,0,0,0,0,0,0,0,0,0,0
2,CRML,-0.25196861068565934,-0.43504681027877534,-0.06652396364023865,-2.641160993575419,-0.4765025159533745,-0.4765355978167566,-0.4770893158126374,-0.4757466625547664,-0.36667489988282104,-0.4656309724327598,11.9,10.39,,1,0,0,0,0,0,0,0,0,0,0
3,GSM,-0.22519838158405184,-0.4105604808802017,-0.13086448220414354,-0.141183932970323,-0.49243513408322614,-0.4924811322362876,-0.49256740323594844,-0.4921534126803825,-0.3446476145285842,-0.4769046954331829,4.76,5.49,,1,0,0,0,0,0,0,0,0,0,0
4,IPX,-0.25229614557895136,-0.4141286628626091,-3.7843966735976435,-1.0265924752679612,-0.4820933231514054,-0.4819199809008652,-0.4818096352829717,-0.48184443592241644,-0.3594058696765365,-0.4700150449406912,15.1,15.18,,1,0,0,0,0,0,0,0,0,0,0
5,MERC,-0.24408154933780574,-0.41695639535098894,-0.3161588677742125,-1.0265924752679612,-0.48200176033671976,-0.4820143611066704,-0.48198612414457975,-0.48179258451789386,-0.35470978859989005,-0.4694638729012919,10.03,8.04,,1,0,0,0,0,0,0,0,0,0,0
6,NB,-0.24920766116318882,-0.41927696773933665,-1.90882324825499,-1.448864241594527,-0.4971878430062827,-0.49719451682848964,-0.4971664835393069,-0.4969677228361223,-0.37899812542797057,-0.48522238257320927,2.53,1.64,,1,0,0,0,0,0,0,0,0,0,0
7,SGML,-0.22181241088484013,-0.350697861192918,-0.5680803834747963,-0.527544024154747,-0.42835241175362043,-0.42823804765057144,-0.42678924158934334,-0.42973411993204075,-0.3225762604868548,-0.4142214025887673,14.11,11.99,,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,-0.24540393576486952,-0.09945872506455664,0.43132656848291767,0.541845513944998,-0.20137912265656,-0.20146521316770216,-0.2012425816391062,-0.2016359721476564,-0.026889774990873475,-0.17867051556910465,119.9,110.32,,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,-0.25157195091433804,-0.43472576360766535,-3.0763355746958485,-2.0246893774943895,-0.5016980191256224,-0.501714213456101,-0.5019052700796973,-0.5012969422783313,-0.3671069752550771,-0.4880534025937604,2.11,2.66,,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,0.9264146147537059,-0.11402176880170375,0.9090706885548534,1.388802028119996,-0.1100997563187258,-0.11060208208351319,-0.11057699049942021,-0.11037286247904775,-0.029069747481789938,-0.11255492411570223,180.97,197.2,,0,1,0,0,0,0,0,0,0,0,0
11,BKNG,-0.24675936558548078,7.446470278874415,0.251788136166727,-0.527544024154747,8.330843117007309,8.332255708882801,8.327663514066092,8.337052275396395,6.902294715260957,8.39373326648332,3568.87,3884.88,,0,1,0,0,0,0,0,0,0,0,0
12,COST,-0.20494489087857834,0.8636695752780397,0.5538574089832952,2.4667466825245383,1.172539110884327,1.1716048566814197,1.1659751986519264,1.1754059165778854,0.9061539822274717,1.16050216724966,721.24,845.67,,0,1,0,0,0,0,0,0,0,0,0
13,CTAS,-0.2173996360182509,-0.16563081111226513,0.41051051835930136,0.29846720527402126,-0.12760404154672564,-0.12770821287558518,-0.1289806602163586,-0.12613247488506654,-0.07827964416140382,-0.11574921661676658,170.135,173.525,,0,1,0,0,0,0,0,0,0,0,0
14,MAR,-0.21617155336277566,-0.04161475712353696,0.3076918465365905,1.388802028119996,0.06720910803028149,0.06716119334831537,0.06612178251497387,0.06809038282937865,0.019964598131309054,0.07176201651434007,251.33,239.51,,0,1,0,0,0,0,0,0,0,0,0
15,MELI,-0.24384735826018325,5.147439194087155,0.6147285858599308,0.07131411718111054,3.509707513212285,3.5078899218264583,3.523445105243367,3.4945448220947126,5.489734004673466,3.4440079264811176,1528.95,1597.6,,0,1,0,0,0,0,0,0,0,0,0
16,NFLX,-0.13558414394117776,1.017505804632965,-0.014878081704751434,0.29846720527402126,0.7299250675843177,0.7306230965671118,0.7312027178686651,0.729833375440399,1.1532793251734117,0.726579452595272,614.31,673.61,,0,1,0,0,0,0,0,0,0,0,0
17,PDD,-0.07078484787274852,0.1787244517805405,2.6554899847214335,2.894502497764437,-0.1636939899453169,-0.16538701248558646,-0.16280883878921296,-0.1660659813935652,0.2682293294581314,-0.12665991766942164,119.16,132.98,,0,1,0,0,0,0,0,0,0,0,0
18,SBUX,-0.0748131415451037,-0.28122916754494987,-0.7086675704839169,-0.3404008549872915,-0.2315398265298992,-0.23100215483079317,-0.23214781161485895,-0.23019975329060438,-0.3030229283309497,-0.25267788849572487,91.53,77.13,,0,1,0,0,0,0,0,0,0,0,0
19,TSLA,2.5407272660753364,0.15338753499156138,-0.1338607318431488,0.29846720527402126,0.16620209373019684,0.16681577259041086,0.17200278215797551,0.16026756674056908,-0.2597070038115764,0.12930938808253462,175.22,209.86,,0,1,0,0,0,0,0,0,0,0,0
20,CCEP,-0.20603742091770186,-0.3459101684849246,0.5947010224834214,0.29846720527402126,-0.33411438456682324,-0.3342654684859404,-0.33482053216810603,-0.33363088807476765,-0.2781113645636743,-0.326008823010355,69.29,73.03,,0,0,1,0,0,0,0,0,0,0,0
21,CELH,-0.13909770118059256,-0.3437328876910276,-1.8475578280048017,-1.174958231004322,-0.3561490427337355,-0.35543317761162535,-0.3537036104105199,-0.35747342696790096,-0.416059924654145,-0.3566239244715364,82.53,57.84,,0,0,1,0,0,0,0,0,0,0,0
22,COKE,-0.25178915451429,2.8554179810671054,1.7234986496413405,1.388802028119996,1.5448615632848264,1.5383343839165966,1.5457787386351092,1.5397706512199236,3.0748138798053937,1.8327316291207074,836.21,1110.0,,0,0,1,0,0,0,0,0,0,0,0
23,KDP,-0.059727568445884574,-0.38722865421839314,-0.7034635579530125,0.803251845480491,-0.41910884619067285,-0.4189804187490916,-0.4194105820368193,-0.4184834472827314,-0.3218839696927863,-0.4097368664500181,31.23,32.84,,0,0,1,0,0,0,0,0,0,0,0
24,KHC,-0.0692290544510993,-0.37047474402854486,-0.01858396941615271,0.541845513944998,-0.41107196073674573,-0.4110625527671852,-0.4115330798631357,-0.41046688550101934,-0.3004761573763502,-0.4005673679763746,37.06,31.86,,0,0,1,0,0,0,0,0,0,0,0
25,MDLZ,-0.09288743426762613,-0.32868977408345035,-0.4816622359919042,0.07131411718111054,-0.3131943217893516,-0.31293128103693935,-0.3137775241997499,-0.3121790381194236,-0.264657130825966,-0.31175350980952665,69.76,65.24,,0,0,1,0,0,0,0,0,0,0,0
26,MNST,-0.11628417194814149,-0.3461328076468804,-0.762994307359567,-0.141183932970323,-0.35594575627823255,-0.35565285008548825,-0.35627196363323965,-0.355297768587292,-0.28330338029465485,-0.3488824626454275,57.74,49.9,,0,0,1,0,0,0,0,0,0,0,0
27,PEP,-0.12055018581288518,-0.32460193605197596,-0.8369543642381732,1.0847663563648686,-0.037334516187525486,-0.036269990416136044,-0.03878782874391367,-0.03533958798077903,-0.28070142434596973,-0.0677095627282106,172.98,162.89,,0,0,1,0,0,0,0,0,0,0,0
28,PPC,-0.23370547984544657,-0.3954531908720615,0.5491264885006552,1.388802028119996,-0.43528227393825414,-0.43536273074413734,-0.43553691085629764,-0.4349900036325386,-0.32703699243393386,-0.42391701982729196,34.51,38.24,,0,0,1,0,0,0,0,0,0,0,0
29,WBA,0.03791465900272642,-0.37287404442668215,-0.1571999395575066,-0.3404008549872915,-0.4440675980056621,-0.4440542315522866,-0.4438396904019887,-0.44411118583893805,-0.3339129766071927,-0.42780027737760545,19.54,11.58,,0,0,1,0,0,0,0,0,0,0,0
30,APA,-0.1621554385590691,-0.3571346355754614,-1.4369927787863548,-1.174958231004322,-0.4004125031890527,-0.4000770373260961,-0.4002460324915853,-0.40021236544876765,-0.43695558718055966,-0.40332322817337124,35.43,29.63,,0,0,0,1,0,0,0,0,0,0,0
31,CHRD,-0.24239067908554177,-0.2781529193709409,-0.37703004465084844,-0.7036787716064696,-0.04390669355237118,-0.04325698128428137,-0.0436002652039031,-0.04359489174325848,-0.36542939108876127,-0.07675379482926342,177.79,169.66,,0,0,0,1,0,0,0,0,0,0,0
32,EXE,-0.21491047289135864,-0.2745449691482598,-0.8684938341224402,-0.7036787716064696,-0.27468223977147926,-0.2741443675473836,-0.27446382367914546,-0.2746940555071084,-0.5253315463916659,-0.30045448300184024,89.75,82.5,,0,0,0,1,0,0,0,0,0,0,0
33,FANG,-0.2077046326871365,-0.24392733387932994,-0.6897438885533563,-0.527544024154747,-0.06323764591035735,-0.06234922221044602,-0.06308378614716033,-0.06260442869496345,-0.4453470107722423,-0.10468819591700254,199.45,203.71,,0,0,0,1,0,0,0,0,0,0,0
34,PAA,-0.17501015127405684,-0.42420645245643684,-0.5221116061184768,-0.7036787716064696,-0.46414158996098126,-0.4641222540850958,-0.4644747739835688,-0.4636344218027758,-0.36819012781384247,-0.4552586662494998,17.7,18.03,,0,0,0,1,0,0,0,0,0,0,0
35,VNOM,-0.23279939296905625,-0.3945765362246858,0.31407858918815484,-0.141183932970323,-0.42325866497723147,-0.42331184591872595,-0.42340104671305945,-0.4229566903210169,-0.3272076693767197,-0.4145972017065395,38.1,38.14,,0,0,0,1,0,0,0,0,0,0,0
36,WWD,-0.2448045265160193,-0.2704907492844915,-0.23100229908669145,-0.3404008549872915,-0.13693016706493255,-0.13652893808502048,-0.1367387146714648,-0.1359376191293052,-0.21913413699223305,-0.1521641511289001,153.03,171.41,,0,0,0,1,0,0,0,0,0,0,0
37,ABNB,-0.12774927756707385,-0.12877163858615537,0.013901684564642441,-0.7036787716064696,-0.14193370527985286,-0.14170714766810186,-0.1398122830805421,-0.143356680317268,-0.13209947054156793,-0.15213909785438198,163.37,151.63,,0,0,0,0,1,0,0,0,0,0,0
38,ACGL,-0.2070672754497112,-0.2955839338556199,-1.606596278089001,-0.3404008549872915,-0.27578611361468647,-0.2749253891989352,-0.2754018251692296,-0.27502462867142025,-0.46024828097163384,-0.30714370729818674,92.31,100.65,,0,0,0,0,1,0,0,0,0,0,0
39,CME,-0.2135338124291557,-0.3038391455115527,0.3406505925656496,1.7181740058547175,0.09736238825641759,0.09734042848032948,0.09569239234666874,0.09869694744537985,-0.3522142372505797,0.03440758420777584,212.02,195.5,,0,0,0,0,1,0,0,0,0,0,0
40,COIN,0.006063364035291792,0.7395320250697087,3.738003439824192,0.541845513944998,-0.1978985569133154,-0.20046573967012823,-0.19329521743422798,-0.20508108058437607,0.8937628031363114,-0.057487826724804736,252.11,233.37,,0,0,0,0,1,0,0,0,0,0,0
41,CSGP,-0.2051694576704157,-0.2675032972910192,0.2098406412206518,-0.8697486763466651,-0.27800713388246406,-0.27795038424612134,-0.27824663185671844,-0.27805762665539396,-0.22375662375730568,-0.2742738111303717,94.52,73.88,,0,0,0,0,1,0,0,0,0,0,0
42,HBANM,-0.25231694541102784,-0.3976077273692253,-1.3120176293699464,-1.174958231004322,-0.4516293700385879,-0.4515031827644232,-0.45167556591027785,-0.45111047526087716,-0.3293747477450659,-0.439274677106919,22.64,21.43,,0,0,0,0,1,0,0,0,0,0,0
43,NDAQ,-0.1947237107649555,-0.3351935280904759,0.6817499593639985,1.0847663563648686,-0.35799423298828864,-0.35815779461428826,-0.3585484622825721,-0.3573242518774959,-0.261687715515465,-0.3475546390959655,62.29,59.48,,0,0,0,0,1,0,0,0,0,0,0
44,TROW,-0.21649314116670756,-0.2652116841563471,-0.39516523983430174,-0.527544024154747,-0.22510464919980247,-0.22474587412718774,-0.22492835924014049,-0.22457802255730236,-0.2851066408498968,-0.22341566385852366,120.3,113.85,,0,0,0,0,1,0,0,0,0,0,0
45,TW,-0.23026571830782552,-0.2810441983723252,0.3896944682356851,-0.8697486763466651,-0.2543578684423085,-0.2543855106787181,-0.25440570680298047,-0.25379510229788416,-0.24400208148274616,-0.26553021832353674,103.54,105.08,,0,0,0,0,1,0,0,0,0,0,0
46,WTW,-0.23890027564034738,0.04502442152717716,0.16087561422532712,0.803251845480491,0.14798041423156572,0.14818115450044947,0.14620090738434657,0.15000007019686637,0.07763985638120857,0.11107060423332014,273.44,259.42,,0,0,0,0,1,0,0,0,0,0,0
47,AMGN,-0.19460418108556277,-0.17767991256041835,-0.2512664084873333,0.07131411718111054,0.264876312518389,0.26575509094285016,0.2637091468846655,0.26591848179498434,-0.29680486824885577,0.22837003552730656,283.04,311.01,,0,0,0,0,0,1,0,0,0,0,0
48,AZN,-0.1215508484442994,-0.3809456567413262,-0.6682970490320549,-1.0265924752679612,-0.32319419953099543,-0.32288029877067503,-0.3240102819072018,-0.3222424891106221,-0.37736471569284863,-0.3244805732647478,67.25,77.94,,0,0,0,0,0,1,0,0,0,0,0
49,DXCM,-0.14804387556734824,0.09378182578206402,0.4450462378825736,1.388802028119996,-0.21786141911959347,-0.21805043765065094,-0.2159886039240307,-0.2198363971220727,0.2020621911003693,-0.1823282936487548,137.94,112.17,,0,0,0,0,0,1,0,0,0,0,0
50,GILD,-0.10869358634779236,-0.35681019341062975,0.42698989137383087,1.0847663563648686,-0.28685949573370645,-0.28694879863752737,-0.2876161788165458,-0.28620263024053977,-0.3283723371111801,-0.29025780027295245,72.88,68.64,,0,0,0,0,0,1,0,0,0,0,0
51,IDXX,-0.24056648877850373,1.320969288763985,0.6700015068321089,0.29846720527402126,0.8232704574346882,0.8222749063778672,0.8240165943197042,0.8179656587472971,1.3661714666385307,0.8973676249855123,532.41,476.4,,0,0,0,0,0,1,0,0,0,0,0
52,ISRG,-0.20864543005990208,0.35835509823123995,0.336471612805984,1.0847663563648686,0.33749847872167427,0.3374087828115239,0.33846212186864744,0.335843579075333,0.373752951621888,0.35198289199986726,394.87,436.24,,0,0,0,0,0,1,0,0,0,0,0
53,MRNA,-0.1415724414038689,-0.08109644409418057,0.5356433651251307,0.29846720527402126,-0.269029694823799,-0.2689947593915649,-0.26654962355133244,-0.2719353825529894,-0.44767105905610105,-0.24405956206148066,105.6,115.95,,0,0,0,0,0,1,0,0,0,0,0
54,REGN,-0.24068894246510125,0.44346277137864976,-0.21302480125265943,-0.3404008549872915,1.8267603934069083,1.8292730566107644,1.82542910100342,1.8285027329525054,0.09946601721568317,1.7071896705102487,969.31,1057.02,,0,0,0,0,0,1,0,0,0,0,0
55,SNY,-0.20511115242574907,-0.3254540716702147,-0.4235507627301422,0.07131411718111054,-0.3688311831918387,-0.3686736611072383,-0.3695040293116859,-0.36783710595734825,-0.43890953251007137,-0.3686244429657311,48.29,49.59,,0,0,0,0,0,1,0,0,0,0,0
56,VRTX,-0.21974860094796175,0.22680079921197832,-0.017164693271360623,0.29846720527402126,0.5396713871440791,0.5404373429635453,0.5390491373474595,0.5387308910554823,0.014527058744007346,0.5261783097245762,420.48,471.25,,0,0,0,0,0,1,0,0,0,0,0
57,AXON,-0.24255525574350195,0.18044827291806287,0.6160690133300121,1.388802028119996,0.13132017519466288,0.13092796282646751,0.13141652493073408,0.13055036465340214,0.2732283629343452,0.15398686348291404,311.37,289.21,,0,0,0,0,0,0,1,0,0,0,0
58,BKR,-0.09394919682908764,-0.4070687508796557,-1.2167684303194601,-0.141183932970323,-0.4107556683740905,-0.41050561316387285,-0.4108679756790598,-0.4102000444602775,-0.38445119592139226,-0.40758228484145703,33.44,34.94,,0,0,0,0,0,0,1,0,0,0,0
59,CSX,0.03942738899802816,-0.3817111181633303,0.08541743252721826,0.541845513944998,-0.417141354722833,-0.41715645843885035,-0.41760414251311256,-0.4165189274212222,-0.3161206075260327,-0.40635467439006756,36.78,33.59,,0,0,0,0,0,0,1,0,0,0,0
60,FER,-0.2527539935645308,-0.3779941433999232,-0.31828778199140084,-3.3286546852418204,-0.4144665921396388,-0.41440531642750245,-0.4156289503328212,-0.4130438284667692,-0.3154798667863197,-0.4045007320757244,40.02,39.0,,0,0,0,0,0,0,1,0,0,0,0
61,HON,-0.18801843235831622,-0.13277053822595186,0.033219609868755995,-0.3404008549872915,0.034794089956253604,0.03503616033008248,0.03298724652306778,0.03693231732670954,-0.05335907565706957,0.032177842775660374,202.01,210.95,,0,0,0,0,0,0,1,0,0,0,0
62,LIN,-0.21388712521101788,0.12686949168016756,0.5128560981337482,0.803251845480491,0.6103197630273522,0.6098635917102939,0.6072860485517189,0.6139513744041379,0.1893283363273719,0.5357486605905102,463.4,428.94,,0,0,0,0,0,0,1,0,0,0,0
63,ODFL,-0.22095326486622438,-0.2011829521704048,-1.4981005016871225,-0.3404008549872915,0.054798344619664485,0.05687301223302349,0.05779284425759622,0.05352198869534109,-0.40879504819262485,0.014527810877622437,218.12,178.7,,0,0,0,0,0,0,1,0,0,0,0
64,ROP,-0.23864027318649045,0.3249955241703256,0.06759763204260719,-0.141183932970323,0.9526061388439228,0.9533667331353585,0.9488469914465719,0.9586773259284336,0.4202352390953255,0.8726149897615784,553.62,562.63,,0,0,0,0,0,0,1,0,0,0,0
65,SYM,-0.22243983813302767,-0.14892209968018216,-0.7787640423017004,-1.174958231004322,-0.38317569421937225,-0.3828716798501505,-0.37977209013906665,-0.386429503724862,-0.11982097458204373,-0.36461591904282686,45.44,35.48,,0,0,0,0,0,0,1,0,0,0,0
66,TER,-0.2152565677367942,-0.1920240015529882,0.1988018267611581,-0.7036787716064696,-0.23855449825985373,-0.23855698537374312,-0.2382858173937894,-0.23856912650561446,-0.25995384926416315,-0.22133624207351707,112.95,147.77,,0,0,0,0,0,0,1,0,0,0,0
67,AGNC,0.13770755470589904,-0.41165263424646537,0.30903227400667216,0.07131411718111054,-0.48251984092789696,-0.48257039987762795,-0.48273010553425255,-0.4821647561125789,-0.35222481162070385,-0.46863711484219284,9.8,9.48,,0,0,0,0,0,0,0,1,0,0,0
68,AGNCL,-0.25184406663590825,-0.41812003263309977,-0.5426122615432507,-1.3155152627545588,-0.4470519626706684,-0.44700024612277167,-0.44739873687066706,-0.44635962896907333,-0.35651104993828037,-0.4390491976362556,24.0,23.5904,,0,0,0,0,0,0,0,1,0,0,0
69,AGNCM,-0.25230764313287934,-0.41101253012529776,-0.07117603544816807,1.0847663563648686,-0.4417951701057977,-0.4417979077450688,-0.4423132203947582,-0.44112793410337553,-0.3521015276830184,-0.43431412875232495,24.5,24.99,,0,0,0,0,0,0,0,1,0,0,0
70,AGNCN,-0.2517819321312677,-0.4250450734981697,-0.16350783353435996,-1.0265924752679612,-0.43625832607416354,-0.43624396999515275,-0.43693830478841583,-0.4354412981789513,-0.3624909685961962,-0.43100709651592894,25.26,25.64,,0,0,0,0,0,0,0,1,0,0,0
71,EQIX,-0.24376752185816733,0.8658641446575035,0.057583850354352435,1.0847663563648686,1.6688765142804605,1.6700572437385781,1.6659624216478488,1.6700771864779895,0.9230300160475566,1.524551299272923,800.05,759.68,,0,0,0,0,0,0,0,1,0,0,0
72,GLPI,-0.21288997094358986,-0.39072892285521293,-0.1408782638923983,-0.8697486763466651,-0.3762568550260401,-0.37619043148320086,-0.3767141902189655,-0.37553635751292747,-0.33486797440903426,-0.3695764673974209,45.52,44.14,,0,0,0,0,0,0,0,1,0,0,0
73,HST,-0.09648409171028102,-0.3901249212270444,0.3621762807616619,0.07131411718111054,-0.45880466249893775,-0.45887265353790196,-0.4590917389270231,-0.4584055095624347,-0.3199934705840198,-0.44443565165765825,20.71,17.63,,0,0,0,0,0,0,0,1,0,0,0
74,LAMR,-0.2406668384380094,-0.08649851601754005,0.9455776249458926,-0.141183932970323,-0.2409071195462326,-0.24128875948946432,-0.24108959456534992,-0.2407816319383325,0.013133224582011688,-0.22694817556558303,116.09,117.98,,0,0,0,0,0,0,0,1,0,0,0
75,REG,-0.2290715894863618,-0.3334352970430559,-0.004470056642943157,-0.527544024154747,-0.3321252970343924,-0.3320543754712536,-0.33244895306348454,-0.3315821165010694,-0.25978465934217604,-0.32535743787288307,59.65,61.86,,0,0,0,0,0,0,0,1,0,0,0
76,SBAC,-0.233182090337326,0.31536092432378776,0.9636339714546357,0.541845513944998,0.1289785768995857,0.12823267242111294,0.1297568683108667,0.12784954029799753,0.4492856774190248,0.14236214410649167,213.92,189.78,,0,0,0,0,0,0,0,1,0,0,0
77,AAPL,0.983315039038261,-0.1371336302863712,1.0791472799057638,2.0761870251315884,0.015928127863991892,0.01515771796632644,0.013547602696550967,0.017349295838664066,-0.06959800367717177,-0.010863682846524324,170.03,216.75,,0,0,0,0,0,0,0,0,1,0,0
78,AMD,1.0655605176580396,0.055752380269319335,2.1593741234419115,0.803251845480491,-0.17336745216902855,-0.1745970774387365,-0.17218960681139583,-0.1755694972333299,0.14146146726579736,-0.12390405747242496,183.34,157.69,,0,0,0,0,0,0,0,0,1,0,0
79,ASML,-0.23074894282887828,1.5728115660759034,0.6158324673058799,1.0847663563648686,1.3642221808496802,1.3630279035242083,1.3600985658138536,1.3660388965886872,1.8254824509456666,1.4031180776834415,992.95,1033.49,,0,0,0,0,0,0,0,0,1,0,0
80,AVGO,0.4859758709091543,-0.10370311195003248,2.220718392366812,1.388802028119996,-0.23904144452457887,-0.24011031312381426,-0.23900181742900206,-0.2398013430338722,-0.03765712736983667,-0.21355720033563094,135.026,164.08,,0,0,0,0,0,0,0,0,1,0,0
81,GOOG,0.26703166960833513,-0.2788494661286312,0.58981240465136,0.29846720527402126,-0.12283423573920119,-0.12307302503593548,-0.12358561532540145,-0.12219934761270869,-0.3374943835886316,-0.14013857936018725,156.5,184.49,,0,0,0,0,0,0,0,0,1,0,0
82,GOOGL,0.4276045683583239,-0.2797281548999742,0.6066860210394426,0.07131411718111054,-0.12660342388734397,-0.1268533229709456,-0.12732918989178368,-0.12604880970665377,-0.3403730906304109,-0.1432451854004381,155.49,182.99,,0,0,0,0,0,0,0,0,1,0,0
83,META,0.1827663775220178,0.10316189657771244,1.180783221607815,0.803251845480491,0.41562989098571845,0.4141031722043296,0.4161724840398359,0.4136450974858516,0.11012167781020954,0.3935713276999991,491.35,504.68,,0,0,0,0,0,0,0,0,1,0,0
84,MSFT,0.3502024032668027,0.26770215599429936,0.5701790846484035,1.0847663563648686,0.5014456779410434,0.5009628691792416,0.49844494335453826,0.5027766342893059,0.3459184006379382,0.44888895783607824,424.57,456.73,,0,0,0,0,0,0,0,0,1,0,0
85,NVDA,9.642416405034252,-0.3453353928250365,0.4952728436732692,0.541845513944998,-0.3760766628621092,-0.37615399281445194,-0.3759967240481234,-0.3763093226412198,-0.2993229892693999,-0.3691455510757087,90.363,124.3,,0,0,0,0,0,0,0,0,1,0,0
86,QCOM,-0.059529422954988254,-0.013322741840397797,0.3896156195609745,0.803251845480491,-0.15638439695829207,-0.1565208853254726,-0.15701491588025732,-0.15598255187978954,0.088006869716251,-0.13086886778847115,171.72,200.03,,0,0,0,0,0,0,0,0,1,0,0
87,CHTR,-0.2293324490215348,0.3846168913610218,-0.707248294339125,-0.8697486763466651,0.6483814771149002,0.65100460535085,0.6531208663408115,0.6479492045655615,-1.150526970674938,0.48055629682702194,284.15,296.02,,0,0,0,0,0,0,0,0,0,1,0
