,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,-0.2504173151760711,-0.2771013666573846,-0.08338215711416627,0.45067413457440403,-0.3764686295905006,-0.3768299236100268,-0.37535156989739876,-0.37746705625099775,-0.1686606685031091,-0.3586896324073991,76.37,75.72,100.01,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,-0.25217740186906956,-0.3954656342513023,-0.19811823990375832,-2.022082678357329,-0.48556661753905067,-0.48618135913480415,-0.48686429404819637,-0.4847171828952819,-0.257712137165645,-0.4506524583137725,23.63,23.78,24.4,1,0,0,0,0,0,0,0,0,0,0
2,CRML,-0.25129367625439697,-0.4054450224563776,-0.47588307057068424,-3.275621657550085,-0.5388881514608399,-0.5396229342017138,-0.5398959583788276,-0.5383183528621543,-0.24839094163558692,-0.493300946893857,10.6899,10.84,11.9,1,0,0,0,0,0,0,0,0,0,0
3,GSM,-0.21932653738793903,-0.38910816316291125,-1.0443879687130155,-0.5697576361919948,-0.5602427594440789,-0.561012565707784,-0.5604828772363056,-0.5604133428029298,-0.2622379660990896,-0.5111951913436193,4.77,5.0,4.76,1,0,0,0,0,0,0,0,0,0,0
4,IPX,-0.2521418562363726,-0.3913078693746668,-2.6539004896750207,-3.107153112159016,-0.5576756069538544,-0.5583505968810855,-0.5578511631209516,-0.5578649703303105,-0.24532932803622948,-0.5106104734463188,7.29,9.55,15.1,1,0,0,0,0,0,0,0,0,0,0
5,MERC,-0.2431533477562683,-0.36640654817026486,-0.5121845757989035,-0.5697576361919948,-0.5309283605688226,-0.5316384380832384,-0.53111327985684,-0.5311112692619918,-0.2915682938410996,-0.4955498618834745,8.07,8.21,10.03,1,0,0,0,0,0,0,0,0,0,0
6,NB,-0.2518474889649512,-0.37896648328754323,-5.986276617201204,-2.451178713542542,-0.5457825990216686,-0.5461046697769281,-0.5452776920705821,-0.5464687615688409,-0.25966913240882017,-0.5066002858972065,5.01,3.57,2.53,1,0,0,0,0,0,0,0,0,0,0
7,SGML,-0.23925360899598,-0.31578872481364034,0.20076095007378206,0.8385575562107538,-0.45369523638971565,-0.45421027008009207,-0.45180932782410155,-0.4560410821756644,-0.23154890002975656,-0.4054476490980077,40.3,30.33,14.11,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,-0.24746141986037193,-0.1917758960839882,-0.4738420220839571,0.8385575562107538,-0.26274733338368417,-0.2625996611818523,-0.26292835102825546,-0.2626472751723042,-0.1209441199483968,-0.27002737238506863,97.05,101.94,119.9,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,-0.25156530707209324,-0.40322159972972516,-0.23482066537044105,-1.6694010056023603,-0.5696349276746834,-0.5704508488854473,-0.5700064239373899,-0.5697578205606005,-0.24904983006769307,-0.5174400561471629,2.41,1.96,2.11,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,1.3191473008476933,-0.12713574482604126,-0.45973691914889586,-1.1514530417496518,-0.19646402812583413,-0.1960586442734824,-0.19533105173220597,-0.1976091902964683,-0.3616130601382874,-0.19294945144594774,130.36,129.46,180.97,0,1,0,0,0,0,0,0,0,0,0
11,BKNG,-0.2455803343893257,8.495974106966965,1.242461071487167,1.474255386114772,7.86535582539651,7.859936457046824,7.855711166283977,7.8742708319082,8.791254546932672,8.055617711624235,2700.33,3093.76,3568.87,0,1,0,0,0,0,0,0,0,0,0
12,COST,-0.20999792086950067,0.18840431143390093,-0.1482218938621599,0.8385575562107538,1.3348077225898163,1.3388846388002313,1.3284557466909466,1.3435268772936129,-0.22003236119740477,1.080615960947805,538.38,571.31,721.24,0,1,0,0,0,0,0,0,0,0,0
13,CTAS,-0.22192974641449384,-0.26627585372389145,-0.04267052926284005,0.26642950929713766,-0.1524461098630038,-0.15229342640712945,-0.1542337588398548,-0.1506653251513551,-0.17604386620380724,-0.15288964199060284,124.27,121.2175,170.135,0,1,0,0,0,0,0,0,0,0,0
14,MAR,-0.21525887679240885,-0.1078750670727865,0.22999168018726782,-0.4129725464127826,0.04687135032993493,0.04712260004439781,0.04566402626486831,0.04873902277323931,-0.04242401205900021,0.010100067400812658,183.69,193.75,251.33,0,1,0,0,0,0,0,0,0,0,0
15,MELI,-0.24027061249799267,4.073772245580133,0.9944736803498145,1.2546506812388392,3.376119537225144,3.3755228782157083,3.4034771363551424,3.3421355802864015,3.81813118334746,3.7378627240039197,1184.6,1259.41,1528.95,0,1,0,0,0,0,0,0,0,0,0
