,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,101766.38888888889,16.21694751544661,-0.12570312499999997,0.9393939393939394,48.553593750000005,48.6298046875,49.6266078125,47.58789296875,0.006169657571873284,43.86,48.86,50.1,75.72,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,2778.181818181818,2.097891577083816,-0.004304687499999994,0.5609756097560976,25.39461015625,25.396603125000002,25.4856734375,25.312553906250002,-0.007534946953396818,24.51,23.968,23.5,23.78,1,0,0,0,0,0,0,0,0,0,0
2,CRML,71208.49019607843,0.19280971655203186,-0.0355625,0.15315315315315314,10.0182703125,10.0219953125,10.02650625,10.0153203125,0.0007098717039003862,10.065,10.22,10.45,10.84,1,0,0,0,0,0,0,0,0,0,0
3,GSM,1024747.4777777778,4.613865122344551,-0.3312734375000001,0.8285714285714286,6.619140625,6.647078125,6.836762500000001,6.42140234375,-0.011052090963193555,5.28,3.85,4.85,5.0,1,0,0,0,0,0,0,0,0,0,0
4,IPX,12423.304347826086,3.867921059012193,-1.7665555555555557,0.3333333333333333,5.967091666666666,6.073409722222222,6.264972222222222,5.791073611111112,0.019313615023474177,5.8,4.725,5.68,9.55,1,0,0,0,0,0,0,0,0,0,0
5,MERC,356907.23333333334,7.408314532925151,-0.13425781250000002,0.9393939393939394,14.782343749999999,14.807421875,15.1039328125,14.507918750000002,-0.005367721113349204,12.3,11.64,9.65,8.21,1,0,0,0,0,0,0,0,0,0,0
6,NB,18176.588888888888,5.073697688292779,-1.0552578124999998,0.6623376623376623,7.757734375,7.8592101562500005,8.12455390625,7.494767968750001,-0.0031887669382896907,10.4,7.4,6.57,3.57,1,0,0,0,0,0,0,0,0,0,0
7,SGML,437098.5111111111,23.449748132975756,0.5236562499999999,1.0,18.430625000000003,18.349937499999996,19.06713203125,17.617540625000004,0.08826319584325217,27.19,28.22,38.36,30.33,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,312931.72222222225,37.741986473538326,-0.03574218749999997,1.064516129032258,77.49453125,77.541484375,78.83948749999999,76.24773046874999,0.022445236678264046,72.16,79.25,77.25,101.94,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,12304.426966292134,1.3093826867838214,-0.06789062499999998,0.6,2.4175851562500004,2.42043125,2.4496640625,2.38623984375,-0.005140496532228531,2.13,2.33,3.03,1.96,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,81443336.77777778,92.68452084370321,-0.0599921875,0.9692307692307692,126.38188671875,126.53801796875,128.74657421875,124.16928203124999,-0.10665487805575902,113.0,84.0,102.0,129.46,0,1,0,0,0,0,0,0,0,0,0
