,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum,close_extract,eval_3m,eval_6m,eval_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
0,AMWD,102190.48888888888,96.54006148951844,0.19261599999999998,1.2522522522522523,66.38304000000001,66.26624,67.3875264,65.3293496,0.14492246723947586,92.85,100.01,78.38,,1,0,0,0,0,0,0,0,0,0,0
1,ATCOL,3836.1882352941175,2.2675507739761867,-0.09381999999999999,0.5432098765432098,23.647535200000004,23.670158,23.754863599999997,23.5481604,-0.0007410403878462054,24.15,24.4,24.85,,1,0,0,0,0,0,0,0,0,0,0
2,CRML,15713.22641509434,1.72337577185012,0.0013879999999999973,0.2755102040816326,10.666552,10.666419600000001,10.670518,10.6618004,0.002960659031344501,11.0099,11.9,10.39,,1,0,0,0,0,0,0,0,0,0,0
3,GSM,1294224.0555555555,4.539385754152207,-0.0033799999999999954,0.968503937007874,4.9264600000000005,4.92844,5.0333212000000005,4.8223792,0.004875378486055779,6.51,4.76,5.49,,1,0,0,0,0,0,0,0,0,0,0
4,IPX,7183.529411764706,11.778852905529043,-0.21370399999999998,0.7730496453900709,7.3793315999999995,7.3990800000000005,7.622042400000001,7.1959424,0.016841982892526287,9.26,15.1,15.18,,1,0,0,0,0,0,0,0,0,0,0
5,MERC,440681.43333333335,9.901559625887227,0.014076000000000007,0.8796992481203008,9.48154,9.48292,9.664573599999999,9.294986000000002,-0.011879566073057173,9.48,10.03,8.04,,1,0,0,0,0,0,0,0,0,0,0
6,NB,37382.91111111111,15.811005180696133,-0.82348,0.5527950310559007,5.485104000000001,5.5370016,5.684736399999999,5.3275276,-0.02505232122113955,3.19,2.53,1.64,,1,0,0,0,0,0,0,0,0,0,0
7,SGML,760832.8666666667,38.07180026476289,-0.06390799999999998,0.937984496124031,33.444559999999996,33.48382,34.3580824,32.5274384,-0.019872870925934823,31.53,14.11,11.99,,1,0,0,0,0,0,0,0,0,0,0
8,UFPI,537074.1222222223,97.4903379315099,0.08450800000000001,1.2123893805309736,94.5804,94.50164,95.6406212,93.3623536,0.1383528594057505,125.55,119.9,110.32,,1,0,0,0,0,0,0,0,0,0,0
9,VOXR,22511.32222222222,2.5308193827217305,-0.6293799999999998,0.47928994082840237,2.3671207999999995,2.3830951999999996,2.4251351999999997,2.3239948,-0.0028902087265396262,2.06,2.11,2.66,,1,0,0,0,0,0,0,0,0,0,0
10,AMZN,66936862.11111111,149.12608154922128,0.16287200000000004,1.1551724137931034,121.37278,121.208136,122.76838319999999,119.75580559999999,0.24405203859261757,151.94,180.97,197.2,,0,1,0,0,0,0,0,0,0,0,0
11,BKNG,322165.34444444446,2534.7335758466606,0.21734399999999998,1.2522522522522523,2807.4093599999997,2802.0703399999998,2834.0670912,2776.8393131999997,4.014892196035138,3547.22,3568.87,3884.88,,0,1,0,0,0,0,0,0,0,0,0
12,COST,1876697.8555555556,364.3545700634205,0.13201200000000002,1.3148148148148149,535.5726800000001,534.88692,539.1119151999999,531.0153936,0.573190384486152,660.08,721.24,845.67,,0,1,0,0,0,0,0,0,0,0,0
13,CTAS,1381793.111111111,78.93427266815094,0.07429999999999999,1.3584905660377358,121.57144,121.48740999999998,122.46741240000001,120.56823040000002,0.1275722094753516,150.665,170.135,173.525,,0,1,0,0,0,0,0,0,0,0,0
14,MAR,1818665.1,139.8883174836269,0.157624,1.1929824561403508,185.48084,185.20982,187.19270360000002,183.5398068,0.21613817309076952,225.51,251.33,239.51,,0,1,0,0,0,0,0,0,0,0,0
15,MELI,496850.55555555556,1182.0589718724275,0.16191199999999997,1.2123893805309736,1271.65612,1270.0744399999999,1290.7095552,1249.678522,1.5177562482599727,1571.54,1528.95,1597.6,,0,1,0,0,0,0,0,0,0,0,0
16,NFLX,7348050.355555556,432.9174182151834,0.07844,1.0161290322580645,390.24788,390.00988800000005,395.4769388,384.954728,0.6040085441367062,486.88,614.31,673.61,,0,1,0,0,0,0,0,0,0,0,0
17,PDD,8884100.166666666,175.24980046350979,0.26048000000000004,1.2522522522522523,91.723,91.449044,93.3031912,89.8949528,0.1850439629434071,146.31,119.16,132.98,,0,1,0,0,0,0,0,0,0,0,0
18,SBUX,6184263.911111111,40.23045755394785,-0.01321200000000001,1.0161290322580645,100.81460000000001,100.8260968,101.624594,99.9919864,-0.044315622329957303,96.01,91.53,77.13,,0,1,0,0,0,0,0,0,0,0,0
19,TSLA,159176020.55555555,330.71797238568695,0.27486,1.2321428571428572,217.47523999999999,217.07457280000003,221.6317084,212.67427360000002,0.4088779110065763,248.48,175.22,209.86,,0,1,0,0,0,0,0,0,0,0,0
20,CCEP,1125203.1444444444,28.880933918850342,0.10334,1.0491803278688525,61.04866,60.9889,61.4805628,60.5318756,0.026257612441799083,66.74,69.29,73.03,,0,0,1,0,0,0,0,0,0,0,0
21,CELH,3016605.222222222,90.92581550932057,-0.04633600000000003,0.8939393939393939,45.305339999999994,45.359744400000004,46.3821664,44.3778108,0.13111030261604187,54.52,82.53,57.84,,0,0,1,0,0,0,0,0,0,0,0
22,COKE,37215.88888888889,761.5818741201763,0.081272,0.9083969465648855,631.4381599999999,630.8706599999999,639.0622824000002,623.6451507999999,1.1403059376950033,928.4,836.21,1110.0,,0,0,1,0,0,0,0,0,0,0,0
23,KDP,7969335.944444444,14.792954542619267,-0.09366799999999999,0.7985611510791367,33.02188,33.053824,33.27249559999999,32.778572,-0.01772883790140643,33.32,31.23,32.84,,0,0,1,0,0,0,0,0,0,0,0
24,KHC,6660366.855555556,22.73557441763898,-0.057603999999999995,0.8939393939393939,36.63211999999999,36.654391999999994,36.9053712,36.350036,-0.03231666298660779,36.98,37.06,31.86,,0,0,1,0,0,0,0,0,0,0,0
25,MDLZ,5957758.955555555,29.88888885564333,-0.019732,1.0161290322580645,70.17473999999999,70.192,70.6740708,69.6570136,0.009843711419382705,72.43,69.76,65.24,,0,0,1,0,0,0,0,0,0,0,0
26,MNST,4113410.9,24.59763725454642,-0.030951999999999983,1.0661157024793388,54.61083,54.633084000000004,55.0671152,54.1457028,0.012696442183074932,57.61,57.74,49.9,,0,0,1,0,0,0,0,0,0,0,0
27,PEP,4421099.722222222,70.32041317853586,-0.076524,1.0,177.19408,177.33296,178.354186,176.02602839999997,-0.05028027456439305,169.84,172.98,162.89,,0,0,1,0,0,0,0,0,0,0,0
28,PPC,811744.7666666667,11.904452726816132,0.014199999999999985,1.032520325203252,24.12938,24.1286,24.422500399999997,23.830898,0.00837725723611578,27.66,34.51,38.24,,0,0,1,0,0,0,0,0,0,0,0
29,WBA,6910197.166666667,44.69981404435593,-0.15045200000000003,0.8796992481203008,29.213519999999995,29.260956000000007,29.587184800000003,28.853324,-0.07274706859309753,26.11,19.54,11.58,,0,0,1,0,0,0,0,0,0,0,0
30,APA,6015565.888888889,30.710393232584956,-0.11367599999999997,0.8656716417910447,38.49060000000001,38.547912,39.121138,37.897552,-0.005650800172802763,35.88,35.43,29.63,,0,0,0,1,0,0,0,0,0,0,0
31,CHRD,591731.0555555555,94.04847017216707,0.015824000000000005,1.0,150.39018,150.39540000000002,152.37003399999998,148.3946572,0.1463439754236068,166.23,177.79,169.66,,0,0,0,1,0,0,0,0,0,0,0
32,EXE,1549971.288888889,35.667288712488364,-0.08737599999999998,0.8939393939393939,82.28112,82.37524,83.3756752,81.2027688,7.0042720683531246e-06,76.94,89.75,82.5,,0,0,0,1,0,0,0,0,0,0,0
33,FANG,2302477.7333333334,87.12568043292401,0.011460000000000022,1.0833333333333333,144.43116,144.43836,146.1502764,142.69828600000002,0.09502118753900066,155.08,199.45,203.71,,0,0,0,1,0,0,0,0,0,0,0
34,PAA,4153439.6222222224,9.885853574679325,0.016940000000000007,1.0,13.99684,13.99562,14.1200468,13.854895599999999,0.015758917102673648,15.15,17.7,18.03,,0,0,0,1,0,0,0,0,0,0,0
35,VNOM,412188.73333333334,15.529590706937514,-0.019611999999999994,1.0661157024793388,28.66114,28.671840000000003,29.056653599999997,28.302792,-0.0020262948207171332,31.38,38.1,38.14,,0,0,0,1,0,0,0,0,0,0,0
36,WWD,367294.0888888889,109.78371407271662,0.051972000000000025,1.0491803278688525,115.61352,115.57406,116.79640719999999,114.4424896,0.1726691460663371,136.13,153.03,171.41,,0,0,0,1,0,0,0,0,0,0,0
37,ABNB,6356977.077777778,105.86915497738235,0.2977,1.0833333333333333,124.6103,124.28672799999998,126.48346000000001,122.465802,0.11224649162386602,136.14,163.37,151.63,,0,0,0,0,1,0,0,0,0,0,0
38,ACGL,2038180.4333333333,53.32747183230235,0.020588000000000002,1.2321428571428572,74.43473999999999,74.437724,75.212186,73.6970168,0.08034917870685936,74.27,92.31,100.65,,0,0,0,0,1,0,0,0,0,0,0
39,CME,1727134.6555555556,111.39671380128321,0.08871199999999999,1.1367521367521367,194.53822000000002,194.38264,196.0230432,192.8853604,0.1740752248835982,210.6,212.02,195.5,,0,0,0,0,1,0,0,0,0,0,0
40,COIN,18649771.82222222,223.27995034507688,0.7041,1.0661157024793388,78.40232,77.9179488,81.01601400000001,75.4675984,0.2889636672586762,173.92,252.11,233.37,,0,0,0,0,1,0,0,0,0,0,0
