,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AGNC,10684559.618441971,3.8164878482178444,-0.10300158982511921,0.9118541033434651,12.580282193958663,12.59521828298887,12.721584022257552,12.444457790143083
1,AGNCL,29990.041366906476,0.944776493075661,-0.03227629233511585,0.9081632653061225,22.6423743315508,22.650003565062388,22.804467379679142,22.494454723707666
2,AGNCM,27581.151033386326,1.4262285498463092,0.033430047694753585,1.110738255033557,23.619422178060415,23.61561812400636,23.771462241653417,23.458842209856915
3,AGNCN,38784.64626391097,0.897789764152635,0.005670906200317971,0.9748822605965463,24.914275198728138,24.915763910969794,25.046395786963433,24.77071089030207
4,EQIX,482230.6589825119,1.8353621617261322,0.01750158982511924,1.0257648953301126,735.8076112877583,735.7598968203497,744.1388626391097,726.9049352146264
5,GLPI,1379787.8131955485,2.3888559018868314,-0.04249920508744038,0.9443585780525502,45.29694753577106,45.317922019077905,45.78615755166932,44.80499634340222
6,HST,8209386.915739269,2.7293555116641697,-0.026903020667726544,0.9873617693522907,16.509638314785374,16.517016216216216,16.754938314785374,16.26118306836248
7,LAMR,512574.18600953894,3.415212007595539,0.02961049284578698,1.0793388429752067,97.4825556438792,97.471,98.71915818759936,96.18375031796502
8,REG,1069298.9960254373,2.8548919545521168,-0.021917329093799683,0.938366718027735,60.21122813990461,60.22697154213037,60.91201764705882,59.47260087440382
9,SBAC,750594.4157392686,2.8330963556063926,-0.017123211446740845,1.0455284552845527,276.22176868044517,276.32489268680445,279.8291709062004,272.59014189189185
