,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AXON,606787.8704292527,7.708581176811842,0.05438871224165343,1.0455284552845527,181.69400635930046,181.59260969793326,184.52368275039746,178.638590063593
1,BKR,7867967.518282989,4.795580349654275,0.06490779014308427,0.9717868338557993,26.88894276629571,26.877184340222577,27.298553100158983,26.45667893481717
2,CSX,13055022.707472177,2.357319073252367,0.017260731319554835,1.0555555555555556,31.00710771065183,31.00702861685215,31.331917726550085,30.68997042925278
3,FER,25718.382857142857,1.669224079857303,0.042719298245614046,0.29056603773584905,37.36860906432749,37.35653128654971,37.5417567251462,37.20952807017544
4,HON,3037063.841017488,2.0338069395770053,-0.0016844197138314776,1.0192616372391654,194.72198330683625,194.7467103338633,196.50376812400637,192.8801045310016
5,LIN,1714999.6689342405,1.5753117528520195,0.08557823129251702,1.2272727272727273,413.6781859410431,413.35536281179145,416.2995775510204,410.650347845805
6,ODFL,1606699.014308426,5.492877982133639,0.07734419713831481,1.1322033898305084,146.33779022257553,146.28194920508744,148.38935119236882,144.25314252782192
7,ROP,510478.0540540541,2.251576697460206,-0.0012281399046104985,1.0522022838499185,452.7186804451511,452.8055166931637,456.9532519872815,448.46406335453094
8,SYM,798408.447171825,9.861323076566702,0.042906382978723415,0.8875502008032129,23.093253404255318,23.13558904255319,23.87545478723404,22.347837234042554
9,TER,1849327.960254372,3.7876006670474323,0.0415858505564388,0.993660855784469,105.49862877583466,105.49532718600955,107.14679030206679,103.76909729729731
