,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AMGN,2684399.13036566,1.9336833817258485,0.008823529411764699,0.9089529590288316,251.82264705882355,251.83574761526233,254.36610596184426,249.18342146263907
1,AZN,6250071.03418124,2.403683798094066,-0.0050127186009538945,0.9443585780525502,62.09058426073131,62.097368124006366,62.560069872814,61.613669793322735
2,DXCM,3652695.3171701115,3.806599323383027,0.032387917329093796,1.0522022838499185,102.38935810810811,102.40983060413355,104.19616565977742,100.51555914149444
3,GILD,8484557.393481717,1.788553004839138,0.028648648648648654,1.0,71.62366454689985,71.60841025437203,72.334940063593,70.86396677265502
4,IDXX,490586.3545310016,3.971039890160636,0.04486089030206678,1.0323101777059773,462.6740103338633,462.6365453100159,468.86984809220985,456.1440705882353
5,ISRG,1817507.6764705882,4.45899139801146,0.04671303656597773,1.0827814569536425,292.3614619236884,292.27961891891897,295.71829038155806,288.6548108108108
6,MRNA,9311811.019872814,10.446691025653394,0.08919157392686802,0.9443585780525502,135.89571542130366,135.6801131160572,139.72958195548492,131.77398616852147
7,REGN,754608.8545310015,4.193740177744052,0.004400635930047687,1.0656814449917897,694.7286327503974,694.8313964228935,702.9953840222576,686.1825207472178
8,SNY,1984696.678855326,1.186355126544085,0.032231319554848974,1.0422077922077921,49.892372813990455,49.88133306836249,50.23301240063593,49.52922686804451
9,VRTX,1558027.487281399,4.464985448039296,0.02374880763116057,1.0522022838499185,300.30331875993636,300.27135357710654,303.70253728139903,296.6951089030207
