,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AAPL,91722655.0953895,4.895589741245112,0.11828537360890302,1.1954624781849912,151.10075516693163,150.95549069952304,152.63300802861684,149.40076414944357
1,AMD,63941207.24165342,5.881400926025106,0.023472178060413348,0.9687010954616588,102.2027106518283,102.25411907790142,104.24338012718601,100.12346963434022
2,ASML,1051804.308426073,5.58978891102714,0.029257551669316373,1.0827814569536425,620.252539745628,620.3251128775835,627.6630965023847,612.3821219395867
3,AVGO,24480827.94117647,8.361964230435172,0.04900238473767886,1.0422077922077921,70.38471621621622,70.37856391096979,71.35508060413355,69.35189578696344
4,GOOG,27490579.360890303,4.634386804973721,0.09410413354531001,1.210896309314587,117.88021526232113,117.80291526232115,119.15160500794912,116.5826707472178
5,GOOGL,33028369.945151035,4.595892236909474,0.07611923688394276,1.1689655172413793,117.07698569157392,117.01732798092208,118.34869586645469,115.75854944356122
6,META,23164915.780604135,6.459892225661157,0.09987917329093798,1.069078947368421,294.63626788553256,294.46926844197134,298.6027112877583,290.53873815580283
7,MSFT,28652432.12400636,4.4790485131310005,0.045641494435612086,1.1358234295415959,289.5767170111288,289.50749554848966,292.3699427662957,286.5146189984102
8,NVDA,448846643.16375196,13.587205540816864,0.12468282988871224,1.086235489220564,36.2745407790143,36.274957154213034,36.947054372019075,35.53723020667726
9,QCOM,9099858.443561208,3.8236619765974247,0.0003998410174880764,1.0128,134.3895707472178,134.43151685214627,136.30155461049284,132.44112933227345
