,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AMWD,126400.43640699523,4.343051864267365,-0.03893720190779016,1.0257648953301126,74.77625198728141,74.8227106518283,76.13680294117647,73.48019721780604
1,ATCOL,2952.9537712895376,0.687322027646139,-0.0018044943820224738,0.5892857142857143,24.84354573033708,24.844062921348314,24.921891797752806,24.756887191011238
2,CRML,40846.20432220039,2.3162496490028635,0.21554634831460678,0.35361216730038025,10.070387078651684,10.059016011235956,10.225571348314606,9.904639606741574
3,GSM,1396117.9848966615,13.99694615906681,-0.020069157392686804,0.8664688427299704,4.3810996025437206,4.384255484896662,4.5120913354531,4.256221621621622
4,IPX,46341.27805695142,7.698720369937305,-0.25804058441558436,0.6830601092896175,10.339761688311688,10.351787012987014,10.627381493506492,10.07489853896104
5,MERC,354758.6414944356,4.192020225228362,-0.03992845786963435,0.8974358974358975,10.615937996820348,10.624135930047695,10.84537050874404,10.403117885532591
6,NB,53613.50755767701,8.729005323123989,-0.7838116057233705,0.5646766169154229,6.3011001589825115,6.363275755166932,6.570168839427663,6.103544197138315
7,SGML,540838.6727605119,18.113378599031254,-0.16196661367249604,0.5984752223634053,14.845269395866456,14.872655961844195,15.287097376788553,14.401727265500794
8,UFPI,322031.9546899841,5.037523927852071,-0.0344101748807631,1.0323101777059773,82.22087042925277,82.25419753577106,83.36710715421304,81.03105818759937
9,VOXR,67069.34080188679,2.269863356440014,-0.3479765533411489,0.5855018587360595,2.4491209847596718,2.46053223915592,2.503477022274326,2.400248182883939
