,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,CHTR,1240237.8744038155,4.72198314160487,0.015164546899841022,1.0095846645367412,484.4160135135135,484.4079689984102,490.90127313195546,478.3046554848966
1,CMCSA,20348782.22972973,2.4160311291004772,0.030088235294117652,1.0555555555555556,44.10703497615262,44.099763593004774,44.58205723370429,43.623393640699526
2,CSCO,20694884.658187598,1.7521069752633418,0.05846422893481717,1.0966666666666667,49.07301271860095,49.04746128775835,49.49984721780604,48.61066534181241
3,FYBR,1858740.6237513872,3.3647528374279467,0.06700776914539401,0.9933628318584071,25.45126526082131,25.438623751387343,25.883586237513878,24.999700665926753
4,LBRDA,158946.82988871224,5.641331032083853,-0.0003632750397456314,1.0555555555555556,111.67800476947535,111.70339467408587,113.06764483306837,110.38481089030208
5,LBRDK,979548.4626391097,5.762170110406734,0.002258346581875982,1.0095846645367412,113.34778616852148,113.36400238473766,114.83253171701114,111.94443775834657
6,ROKU,7187235.0143084265,10.717353068519898,0.015579491255961846,0.9206106870229007,149.67864864864868,149.8254647853736,153.71497496025435,145.83275317965024
7,TMUS,4905534.622416534,3.523551508678559,0.04489030206677266,1.086235489220564,137.0721025437202,137.0145821144674,138.3566143084261,135.67980556438795
8,VOD,5383870.972178061,4.399443497277952,-0.036782988871224165,0.9118541033434651,13.536947535771064,13.541790461049285,13.64524427662957,13.432255643879174
9,WBD,16800356.37837838,8.339058385089999,0.05410890302066772,1.0,19.777507949125592,19.77543569157393,20.226878060413352,19.332179252782193
