,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,CCEP,1306002.8513513512,3.1546269755090326,0.0445993640699523,0.990506329113924,56.427285373608896,56.39893084260732,56.987243481717016,55.83730095389507
1,CELH,3796497.186009539,16.905249536222342,0.15397615262321143,0.9687010954616588,30.034736248012717,30.05176160572337,30.888682670906203,29.184143799682037
2,COKE,40861.60015898251,8.041606028027791,0.029497615262321135,0.9503875968992248,550.6322734499205,550.3787235294118,558.3084974562797,542.7767218600953
3,KDP,7065174.187599364,1.7432112584194521,-0.008282193958664544,0.9811023622047244,33.2398052464229,33.24626764705882,33.533942527821935,32.936642050874404
4,KHC,7249433.344992051,1.7974055561914066,0.03806359300476949,1.0257648953301126,35.66427662957075,35.65591009538951,36.00940842607313,35.29693640699523
5,MDLZ,6864915.508744038,1.7430296555579752,-0.004784578696343403,0.9842271293375394,63.496573926868045,63.50483958664547,64.01311907790142,62.96387170111288
6,MNST,5249917.185214627,2.7618840057465803,0.0007027027027026945,0.993660855784469,46.68526033386327,46.69294157392687,47.14104149443561,46.210548012718604
7,PEP,5033361.124801272,1.7924654419512882,0.0014117647058823472,1.0522022838499185,160.59045310015895,160.60251478537361,161.824370190779,159.2769202702703
8,PPC,845345.9292527821,4.142607405784707,-0.015708267090620058,0.9811023622047244,26.705560413354533,26.70941001589825,27.066727265500795,26.347422972972975
9,WBA,9198074.609697932,7.7598216268147295,-0.10716136724960254,0.8860569715142429,36.451740858505566,36.48665278219396,36.97004181240063,35.9644700317965
