,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low
0,AEP,3021990.6685214625,1.3405377506856826,0.004554848966613678,1.062295081967213,88.30315580286168,88.30699594594594,89.1612395071542,87.40170564387918
1,CEG,2496982.080443828,7.637757185734664,0.17301386962552007,1.1020408163265305,119.04295769764217,118.97303051317614,121.00798391123439,116.87416074895978
2,CWST,271600.2042925278,3.7146829312151337,0.04976550079491256,1.0422077922077921,75.67097774244833,75.64937273449921,76.55561001589825,74.70115675675676
3,EVRG,1806687.1709062003,1.579943128809661,0.004313195548489674,1.0931780366056572,59.86123211446741,59.86523449920509,60.464049443561194,59.2339859300477
4,EXC,6476708.324324325,2.6995252760763986,0.03371860095389507,1.0488599348534202,36.4634559618442,36.455822337042925,36.82749825119237,36.07526414944356
5,LNT,1475942.0476947536,1.2929175299433906,0.0034205087440381515,1.0323101777059773,54.45769475357711,54.460794356120815,54.989427344992045,53.894852146263915
6,NFE,1280817.9554848967,7.630606574382763,-0.11764944356120824,0.8860569715142429,31.48406597774245,31.53553903020668,32.33438036565978,30.68776788553259
7,NWE,362983.89268680447,1.6378727176416046,-0.04494117647058825,0.938366718027735,57.02125596184419,57.05240461049285,57.63861025437202,56.38463879173291
8,OTTR,179026.20747217807,4.33220347212308,-0.02407154213036566,0.9717868338557993,63.44672496025437,63.47331756756757,64.24031311605724,62.6422873608903
9,XEL,3374504.6907790145,1.4136081987287328,0.020340222575516695,1.0522022838499185,65.15077503974562,65.14390683624801,65.79101287758346,64.46779085850557
